Data;Hora;ID do Pedido;Código;Produto;Categoria;SubCategoria;Quantidade; Preço Unitário ; Total do Pedido ; Custo Unitário ; Custo Total ;Forma de Pagamento;Tipo;Localidade; Bairro 
01/01/2023;20:06;1;950;LIMAO SUMO 40ML;BEBIDAS NAO ALCOOLICAS ; SUCOS DE FRUTA;6;R$ 2,00 ;R$ 12,00 ;R$ 0,90 ;5,41;Pix;Delivery;Sorocaba;Campolim
01/01/2023;19:11;2;651;REFRIGERANTE TONICA SCHWEPPES LATA 350ML;BEBIDAS NAO ALCOOLICAS ; REFRIGERANTE;3;R$ 7,00 ;R$ 21,00 ;R$ 2,61 ;7,83;Cartão de Crédito;Presencial;Sorocaba;Campolim
01/01/2023;20:39;3;672;REFRIGERANTE TONICA CITRUS SCHWEPPES;BEBIDAS NAO ALCOOLICAS ; REFRIGERANTE;1;R$ 7,00 ;R$ 7,00 ;R$ 2,64 ;2,64;Dinheiro;Delivery;Sorocaba;Jardim Piazza Di Roma
01/01/2023;19:44;4;903;REFRIGERANTE KS FANTA LARANJA 290ML;BEBIDAS NAO ALCOOLICAS ; REFRIGERANTE;1;R$ 7,90 ;R$ 7,90 ;R$ 2,03 ;2,03;Dinheiro;Presencial;Votorantim;Jardim Serrano
01/01/2023;12:12;5;963;SUCO COPO ABACAXI;BEBIDAS NAO ALCOOLICAS ; SUCOS DE FRUTA;1;R$ 9,74 ;R$ 9,74 ;R$ 1,79 ;1,79;Cartão de Crédito;Presencial;Votorantim;Jardim Tatiana
01/01/2023;22:01;6;962;SUCO COPO GRAVIOLA;BEBIDAS NAO ALCOOLICAS ; SUCOS DE FRUTA;4;R$ 9,89 ;R$ 39,56 ;R$ 1,94 ;7,74;Pix;Presencial;Votorantim;Jardim Primavera
01/01/2023;14:35;7;966;SUCO COPO MORANGO;BEBIDAS NAO ALCOOLICAS ; SUCOS DE FRUTA;3;R$ 12,78 ;R$ 38,34 ;R$ 3,06 ;9,17;Pix;Presencial;Sorocaba;Jardim Tulipas
01/01/2023;14:17;8;505;CACHACA YPIOCA 160 ANOS DOSE;BEBIDAS ALCOOLICAS ; CACHACAS;1;R$ 12,86 ;R$ 12,86 ;R$ 5,46 ;5,46;Pix;Presencial;Sorocaba;Jardim São Paulo
01/01/2023;19:36;9;807;CERVEJA DEVASSA LAGER 600ML;BEBIDAS ALCOOLICAS ; CERVEJAS 600ML;51;R$ 13,50 ;R$ 688,50 ;R$ 4,79 ;244,29;Dinheiro;Delivery;Sorocaba;Campolim
01/01/2023;21:10;10;830;CERVEJA LN HEINEKEN ZERO ALCOOL 330ML;BEBIDAS ALCOOLICAS ; CERVEJA LONG NECK;4;R$ 15,68 ;R$ 62,72 ;R$ 6,06 ;24,24;Cartão de Crédito;Presencial;Sorocaba;Jardim Piazza Di Roma
01/01/2023;12:32;11;813;CERVEJA AMSTEL LAGER 600ML;BEBIDAS ALCOOLICAS ; CERVEJAS 600ML;45;R$ 17,84 ;R$ 802,80 ;R$ 6,07 ;273,15;Dinheiro;Presencial;Sorocaba;Vila Serrana
01/01/2023;21:15;12;562;LICOR 43 DOSE;BEBIDAS ALCOOLICAS ; DESTILADOS DIVERSOS;4;R$ 19,52 ;R$ 78,08 ;R$ 10,13 ;40,52;Cartão de Crédito;Delivery;Votorantim;Jardim Primavera
01/01/2023;22:19;13;823;CERVEJA BADEN CRISTAL LONG NECK 600ML;BEBIDAS ALCOOLICAS ; CERVEJA LONG NECK;1;R$ 19,90 ;R$ 19,90 ;R$ 6,60 ;6,6;Dinheiro;Delivery;Sorocaba;Campolim
01/01/2023;22:00;14;630;CAIP FRUTA VODKA SMIRNOFF;DRINKS; CAIPIROSCAS DE FRUTA;8;R$ 23,77 ;R$ 190,16 ;R$ 4,96 ;39,66;Pix;Presencial;Votorantim;Vila Nova
01/01/2023;20:24;15;67;PASTEL CARNE DO SOL COM QUEIJO 06 UNIDADE;ALIMENTOS; ENTRADAS;11;R$ 24,73 ;R$ 272,03 ;R$ 5,71 ;62,79;Pix;Delivery;Sorocaba;Jardim Tulipas
01/01/2023;20:19;16;63;PASTEL PIZZA 06 UNIDADE;ALIMENTOS; ENTRADAS;1;R$ 24,80 ;R$ 24,80 ;R$ 2,08 ;2,08;Cartão de Crédito;Presencial;Sorocaba;Jardim Tulipas
01/01/2023;13:00;17;632;CAIP ESPECIAIS VODKA SMIRNOFF;DRINKS; COQUETEIS;1;R$ 25,62 ;R$ 25,62 ;R$ 9,67 ;9,67;Cartão de Crédito;Delivery;Sorocaba;Jardim Europa
01/01/2023;20:32;18;690;CAIP FRUTA VODKA KETEL ONE;DRINKS; CAIPIROSCAS DE FRUTA;1;R$ 26,88 ;R$ 26,88 ;R$ 10,63 ;10,63;Cartão de Crédito;Presencial;Sorocaba;Jardim Tulipas
01/01/2023;19:08;19;785;COQUETEL GORDONS TONIC CAJU DA TERRA;DRINKS; COQUETEIS;3;R$ 26,90 ;R$ 80,70 ;R$ 10,34 ;31,02;Cartão de Crédito;Presencial;Sorocaba;Vila Hortência
01/01/2023;14:49;20;173;ARROZ DE MARISCOS;ALIMENTOS; PRATOS RISOTOS;2;R$ 30,00 ;R$ 60,00 ;R$ 62,45 ;124,9;Pix;Presencial;Sorocaba;Jardim do Sol
01/01/2023;14:57;21;172;ARROZ DE CAMARAO INDIVIDUAL;ALIMENTOS; PRATOS RISOTOS;2;R$ 35,00 ;R$ 70,00 ;R$ 21,07 ;42,13;Pix;Presencial;Sorocaba;Jardim Piazza Di Roma
01/01/2023;19:41;22;81;BOLINHA DE CARNE DO SOL COM QUEIJO;ALIMENTOS; ENTRADAS;4;R$ 38,71 ;R$ 154,84 ;R$ 5,69 ;22,76;Dinheiro;Presencial;Votorantim;Jardim Tatiana
01/01/2023;11:08;23;82;BOLINHA DE PEIXE;ALIMENTOS; ENTRADAS;2;R$ 38,77 ;R$ 77,54 ;R$ 13,67 ;27,35;Pix;Presencial;Sorocaba;Vila Serrana
01/01/2023;22:06;24;80;BOLINHA DE CAMARAO CATUPIRI;ALIMENTOS; ENTRADAS;1;R$ 38,96 ;R$ 38,96 ;R$ 5,73 ;5,73;Cartão de Crédito;Presencial;Sorocaba;Jardim Piazza Di Roma
01/01/2023;20:00;25;13;ISCA DE PEIXE;ALIMENTOS; ENTRADAS;8;R$ 59,62 ;R$ 476,96 ;R$ 21,89 ;175,11;Cartão de Crédito;Presencial;Sorocaba;Vila Hortência
01/01/2023;14:00;26;31;VINAGRETE DE CAMARÃO;ALIMENTOS; ENTRADAS;2;R$ 59,84 ;R$ 119,68 ;R$ 23,15 ;46,3;Dinheiro;Presencial;Votorantim;Jardim Serrano
01/01/2023;22:04;27;171;ARROZ DE CAMARAO;ALIMENTOS; PRATOS RISOTOS;1;R$ 60,00 ;R$ 60,00 ;R$ 40,37 ;40,37;Dinheiro;Delivery;Sorocaba;Jardim Piazza Di Roma
01/01/2023;13:07;28;7;FILE TRINCHADO APERITIVO;ALIMENTOS; ENTRADAS;1;R$ 79,69 ;R$ 79,69 ;R$ 26,68 ;26,68;Pix;Presencial;Sorocaba;Jardim Europa
